"","x1","x2","x3","x4","x5","x6","x7","x8","x9"
"96","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"97","Packaging paper",NA,NA,NA,NA,NA,NA,NA,NA
"98","Perfume",NA,NA,NA,NA,NA,NA,NA,NA
"99","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"100","Deodorant",NA,NA,NA,NA,NA,NA,NA,NA
"101","Toothpaste",NA,NA,NA,NA,NA,NA,NA,NA
"102","Postcard",NA,NA,NA,NA,NA,NA,NA,NA
"103","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"104","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"105","Toothbrush","Flash cards","Candy","Lek",NA,NA,NA,NA,NA
"106","Toothbrush",NA,NA,NA,NA,NA,NA,NA,NA
"107","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"108","Pencils",NA,NA,NA,NA,NA,NA,NA,NA
"109","Pencils","Candy",NA,NA,NA,NA,NA,NA,NA
"110","Lek",NA,NA,NA,NA,NA,NA,NA,NA
"111","Prescription medicines",NA,NA,NA,NA,NA,NA,NA,NA
"112","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"113","Toothpaste","Pencils","Candy","Postcard",NA,NA,NA,NA,NA
"114","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"115","Pencils","Postcard",NA,NA,NA,NA,NA,NA,NA
"116","Magazine","Pencils","Postcard",NA,NA,NA,NA,NA,NA
"117","Toothbrush",NA,NA,NA,NA,NA,NA,NA,NA
"118","Magazine","Toothbrush","Lek",NA,NA,NA,NA,NA,NA
"119","Toothpaste",NA,NA,NA,NA,NA,NA,NA,NA
"120","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"121","Toothpaste",NA,NA,NA,NA,NA,NA,NA,NA
"122","Magazine","Candy",NA,NA,NA,NA,NA,NA,NA
"123","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"124","Flash cards",NA,NA,NA,NA,NA,NA,NA,NA
"125","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"126","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"127","Candy","Set of pens",NA,NA,NA,NA,NA,NA,NA
"128","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"129","Magazine","Toothpaste",NA,NA,NA,NA,NA,NA,NA
"130","Analgesics",NA,NA,NA,NA,NA,NA,NA,NA
"131","Pencils",NA,NA,NA,NA,NA,NA,NA,NA
"132","Soap",NA,NA,NA,NA,NA,NA,NA,NA
"133","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"134","Toothbrush","Lek",NA,NA,NA,NA,NA,NA,NA
"135","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"136","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"137","Postcard",NA,NA,NA,NA,NA,NA,NA,NA
"138","Postcard",NA,NA,NA,NA,NA,NA,NA,NA
"139","Magazine","Toothpaste","Postcard",NA,NA,NA,NA,NA,NA
"140","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"141","Pencils","Candy","Postcard",NA,NA,NA,NA,NA,NA
"142","Pencils",NA,NA,NA,NA,NA,NA,NA,NA
"143","Lek","Packaging paper",NA,NA,NA,NA,NA,NA,NA
"144","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"145","Postcard",NA,NA,NA,NA,NA,NA,NA,NA
"146","Toothpaste",NA,NA,NA,NA,NA,NA,NA,NA
"147","Postcard",NA,NA,NA,NA,NA,NA,NA,NA
"148","Pencils",NA,NA,NA,NA,NA,NA,NA,NA
"149","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"150","Toothbrush",NA,NA,NA,NA,NA,NA,NA,NA
"151","Toothpaste","Candy","Set of pens",NA,NA,NA,NA,NA,NA
"152","Postcard",NA,NA,NA,NA,NA,NA,NA,NA
"153","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"154","Toothpaste","Pencils",NA,NA,NA,NA,NA,NA,NA
"155","Toothbrush",NA,NA,NA,NA,NA,NA,NA,NA
"156","Toothpaste","Candy",NA,NA,NA,NA,NA,NA,NA
"157","Magazine","Toothpaste","Postcard",NA,NA,NA,NA,NA,NA
"158","Magazine","Perfume",NA,NA,NA,NA,NA,NA,NA
"159","Toothbrush",NA,NA,NA,NA,NA,NA,NA,NA
"160","Pencils",NA,NA,NA,NA,NA,NA,NA,NA
"161","Toothbrush","Perfume",NA,NA,NA,NA,NA,NA,NA
"162","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"163","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"164","Toothpaste","Candy",NA,NA,NA,NA,NA,NA,NA
"165","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"166","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"167","Postcard",NA,NA,NA,NA,NA,NA,NA,NA
"168","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"169","Packaging paper",NA,NA,NA,NA,NA,NA,NA,NA
"170","Toothpaste",NA,NA,NA,NA,NA,NA,NA,NA
"171","Lek",NA,NA,NA,NA,NA,NA,NA,NA
"172","Soap",NA,NA,NA,NA,NA,NA,NA,NA
"173","Soap",NA,NA,NA,NA,NA,NA,NA,NA
"174","Flash cards",NA,NA,NA,NA,NA,NA,NA,NA
"175","Packaging paper",NA,NA,NA,NA,NA,NA,NA,NA
"176","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"177","Postcard",NA,NA,NA,NA,NA,NA,NA,NA
"178","Candy","Postcard",NA,NA,NA,NA,NA,NA,NA
"179","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"180","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"181","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"182","Flash cards","Candy","Set of pens","Perfume","Postcard",NA,NA,NA,NA
"183","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"184","Lek",NA,NA,NA,NA,NA,NA,NA,NA
"185","Postcard",NA,NA,NA,NA,NA,NA,NA,NA
"186","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"187","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"188","Postcard",NA,NA,NA,NA,NA,NA,NA,NA
"189","Perfume",NA,NA,NA,NA,NA,NA,NA,NA
"190","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"191","Magazine","Candy","Set of pens","Postcard",NA,NA,NA,NA,NA
"192","Perfume",NA,NA,NA,NA,NA,NA,NA,NA
"193","Lek",NA,NA,NA,NA,NA,NA,NA,NA
"194","Analgesics","Toothpaste","Toothbrush","Candy",NA,NA,NA,NA,NA
"195","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"196","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"197","Magazine","Pencils","Postcard",NA,NA,NA,NA,NA,NA
"198","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"199","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"200","Toothpaste",NA,NA,NA,NA,NA,NA,NA,NA
